ID Pelapor|Periode Laporan|Periode Data|ID|Pos Laporan Posisi Keuangan|Deskripsi Pos Laporan Posisi Keuangan|Cakupan Data|Deskripsi Cakupan Data|Nominal Rupiah|Nominal Valas|Nominal Valas USD|Nominal Valas Non USD|Nominal Total|Nominal Perusahaan Induk Rupiah|Nominal Perusahaan Induk Valas|Nominal Perusahaan Induk Total|Nominal Perusahaan Anak Selain Asuransi Rupiah|Nominal Perusahaan Anak Selain Asuransi Valas|Nominal Perusahaan Anak Selain Asuransi Total|Nominal Perusahaan Anak Asuransi Rupiah|Nominal Perusahaan Anak Asuransi Valas|Nominal Perusahaan Anak Asuransi Total|Nominal Konsolidasi Rupiah|Nominal Konsolidasi Valas|Nominal Konsolidasi Total
008001000|M|2024-11-30 00:00:00|1.0|01.01.00.00.00.00|Kas|KC|Per Kantor Cabang|9137055309147.00|2104529964166.00|||11241585273313.00||||||||||||
008001000|M|2024-11-30 00:00:00|2.0|01.02.00.00.00.00|Penempatan pada Bank Indonesia|KC|Per Kantor Cabang|78422941998886.00|22433117749875.00|||100856059748761.00||||||||||||
008001000|M|2024-11-30 00:00:00|3.0|01.03.00.00.00.00|Penempatan pada Bank Lain|KC|Per Kantor Cabang|515170054134.00|46994860673560.00|||47510030727694.00||||||||||||
008001000|M|2024-11-30 00:00:00|4.0|01.03.01.00.00.00|a. Dalam Negeri|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|5.0|01.03.02.00.00.00|b. Luar Negeri|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|6.0|01.03.02.01.00.00|i. Giro (NOSTRO)|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|7.0|01.03.02.99.00.00|ii. Lainnya|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|8.0|01.04.00.00.00.00|Tagihan Spot dan Derivatif/Forward|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|9.0|01.04.01.00.00.00|a. Tagihan Spot dan Derivatif|KC|Per Kantor Cabang|5162491143466.00|1.00|||5162491143467.00||||||||||||
008001000|M|2024-11-30 00:00:00|10.0|01.04.02.00.00.00|b. Tagihan Spot dan Forward|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|11.0|01.05.00.00.00.00|Surat Berharga yang dimiliki|KC|Per Kantor Cabang|159580916403117.00|42287284436613.00|||201868200839730.00||||||||||||
008001000|M|2024-11-30 00:00:00|12.0|01.05.01.00.00.00|a. Diterbitkan oleh Bank Indonesia|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|13.0|01.05.01.01.00.00|i. Sertifikat Bank Indonesia (SBI)|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|14.0|01.05.01.99.00.00|ii. Lainnya|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|15.0|01.05.02.00.00.00|b. Diterbitkan oleh Pemerintah|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|16.0|01.05.03.00.00.00|c. Diterbitkan oleh Bank Lain|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|17.0|01.05.99.00.00.00|d. Lainnya|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|18.0|01.06.00.00.00.00|Surat Berharga yang dijual dengan janji dibeli kembali (Repo)|KC|Per Kantor Cabang|45661115906180.00|1874608049340.00|||47535723955520.00||||||||||||
008001000|M|2024-11-30 00:00:00|19.0|01.07.00.00.00.00|Tagihan atas Surat Berharga yang dibeli dengan janji dijual kembali (Reverse Repo)|KC|Per Kantor Cabang|3842940041580.00|0.00|||3842940041580.00||||||||||||
008001000|M|2024-11-30 00:00:00|20.0|01.08.00.00.00.00|Tagihan Akseptasi|KC|Per Kantor Cabang|6550198136670.00|3914916989585.00|||10465115126255.00||||||||||||
008001000|M|2024-11-30 00:00:00|21.0|01.09.00.00.00.00|Kredit/Piutang/Pembiayaan yang diberikan|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|22.0|01.09.01.00.00.00|a. Kredit|KC|Per Kantor Cabang|33378608866975.00|4054842281040.00|||37433451148015.00||||||||||||
008001000|M|2024-11-30 00:00:00|23.0|01.09.01.01.00.00|i. Bank|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|24.0|01.09.01.02.00.00|ii. Non-Bank|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|25.0||b. Pembiayaan Syariah|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|26.0|01.09.02.00.00.00|# berdasarkan penerima pembiayaan|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|27.0|01.09.02.01.00.00|i. Bank|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|28.0|01.09.02.02.00.00|ii. Non-Bank|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|29.0|01.09.03.00.00.00|# berdasarkan Jenis Piutang/Pembiayaan|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|30.0|01.09.03.01.00.00|1) Piutang|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|31.0|01.09.03.01.01.00|a. Piutang Murabahah|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|32.0|01.09.03.01.02.00|b. Pendapatan Margin Murabahah Yang Ditangguhkan -/-|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|33.0|01.09.03.01.03.00|c. Piutang Istishna’|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|34.0|01.09.03.01.04.00|d. Pendapatan Margin Istishna Yang Ditangguhkan -/-|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|35.0|01.09.03.01.05.00|e. Piutang Qardh|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|36.0|01.09.03.01.06.00|f. Piutang Sewa|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|37.0|01.09.03.01.07.00|g. Piutang Multijasa|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|38.0|01.09.03.01.08.00|h. Pendapatan Margin Multijasa Yang Ditangguhkan -/-|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|39.0||2) Pembiayaan Bagi Hasil|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|40.0|01.09.03.02.01.00|a. Mudharabah|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|41.0|01.09.03.02.02.00|b. Musyarakah|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|42.0|01.09.03.02.99.00|c. Lainnya|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|43.0||3) Pembiayaan Sewa|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|44.0|01.09.03.03.01.00|a. Aset Ijarah|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|45.0|01.09.03.03.02.00|b. Akumulasi Penyusutan /Amortisasi -/-|||||||||||||||||||
008001000|M|2024-11-30 00:00:00|46.0|01.09.03.03.03.00|c. Cadangan Kerugian Penurunan Nilai -/-|||||||||||||||||||
