Tahun,Bulan,Kode Kepesertaan,Nama Bank,Deskripsi,Jumlah Nasabah Penyimpan,Jumlah Rekening Simpanan,Jumlah Saldo Simpanan,Jumlah Saldo Simpanan Dijamin,Uninsured,Insured,Check
2024,10,10300026,097,A.1.1 0 <= Nominal <= 50 Juta,63066,71158,251776761084,0,,,
2024,10,10300026,097,A.1.6 1 Miliar < Nominal <= 2 Miliar,5688,29323,7505536792568,0,,,
2024,10,10300026,097,A.1.5 500 Juta < Nominal <= 1 Miliar,7667,30913,5057749039510,0,,,
2024,10,10300026,097,A.2.1 0 <= Nominal <= 50 Juta,549,568,2069924954,0,,,
2024,10,10300026,097,A.1.7 2 Miliar < Nominal <= 5 Miliar,4812,29583,14183938877631,0,,,
2024,10,10300026,097,A.1 Nasabah Perorangan - “ Non UMKM,99373,244988,90232270806810,0,,,
2024,10,10300026,097,A.1.3 100 Juta < Nominal <= 200 Juta,4908,13749,653308107068,0,,,
2024,10,10300026,097,Grand Total A,105457,260304,127693196996162,0,,,
2024,10,10300026,097,A.3.2 50 Juta < Nominal <= 100 Juta,4,4,283462317,0,,,
2024,10,10300026,097,A.4.2 50 Juta < Nominal <= 100 Juta,192,217,13586955359,0,,,
2024,10,10300026,097,A.2.5 500 Juta < Nominal <= 1 Miliar,12,49,8250256929,0,,,
2024,10,10300026,097,A.2.6 1 Miliar < Nominal <= 2 Miliar,14,44,17440706918,0,,,
2024,10,10300026,097,A.2 Nasabah Perorangan - UMKM,611,948,250810734952,0,,,
2024,10,10300026,097,A.1.8 Nominal > 5 Miliar,3158,40469,60422347276172,0,,,
2024,10,10300026,097,A.1.4 200 Juta < Nominal <= 500 Juta,6122,22594,1898840402949,0,,,
2024,10,10300026,097,A.1.2 50 Juta < Nominal <= 100 Juta,3952,7199,258773549828,0,,,
2024,10,10300026,097,A.3.5 500 Juta < Nominal <= 1 Miliar,28,40,26158670097,0,,,
2024,10,10300026,097,B.1.1 Nominal <= Batasan Nilai Simpanan yang Dijamin,71996,85282,2478957495260,2478957495260,,,
2024,10,10300026,097,A.3.4 200 Juta < Nominal <= 500 Juta,13,15,6031723158,0,,,
2024,10,10300026,097,A.3.6 1 Miliar < Nominal <= 2 Miliar,54,104,89698438208,0,,,
2024,10,10300026,097,A.2.3 100 Juta < Nominal <= 200 Juta,6,19,937229798,0,,,
2024,10,10300026,097,A.2.8 Nominal > 5 Miliar,10,192,196672335586,0,,,
2024,10,10300026,097,A.2.4 200 Juta < Nominal <= 500 Juta,6,24,1601212625,0,,,
2024,10,10300026,097,A.2.2 50 Juta < Nominal <= 100 Juta,7,10,481350589,0,,,
2024,10,10300026,097,A.3.7 2 Miliar < Nominal <= 5 Miliar,49,155,154562050268,0,,,
2024,10,10300026,097,B.2.2 Kolektibilitas Kredit Macet / Hapus Buku,428,443,4496710179,0,,,
2024,10,10300026,097,A.4.4 200 Juta < Nominal <= 500 Juta,315,440,107674665908,0,,,
2024,10,10300026,097,A.4 Nasabah Badan Hukum - “ Non Bank -“  Non UMKM,5215,13702,35231869691829,0,,,
2024,10,10300026,097,A.2.7 2 Miliar < Nominal <= 5 Miliar,7,42,23357717553,0,,,
2024,10,10300026,097,A.3.3 100 Juta < Nominal <= 200 Juta,7,7,1115205325,0,,,
2024,10,10300026,097,A.3.1 0 <= Nominal <= 50 Juta,19,20,314589869,0,,,
2024,10,10300026,097,A.4.3 100 Juta < Nominal <= 200 Juta,208,254,29501045033,0,,,
2024,10,10300026,097,A.5.2 50 Juta < Nominal <= 100 Juta,2,2,169059258,0,,,
2024,10,10300026,097,A.4.6 1 Miliar < Nominal <= 2 Miliar,496,1114,741448811089,0,,,
2024,10,10300026,097,A.5 Nasabah Badan Hukum -“ Non Bank -“ UMKM,39,61,47647225224,0,,,
2024,10,10300026,097,A.5.1 0 <= Nominal <= 50 Juta,25,28,128856881,0,,,
2024,10,10300026,097,A.3 Nasabah Badan Hukum -“ Bank Lain,219,605,1930598537347,0,,,
2024,10,10300026,097,A.4.7 2 Miliar < Nominal <= 5 Miliar,681,2155,2189436945314,0,,,
2024,10,10300026,097,A.4.1 0 <= Nominal <= 50 Juta,1896,2006,16870889318,0,,,
2024,10,10300026,097,A.4.5 500 Juta < Nominal <= 1 Miliar,372,625,281955374869,0,,,
2024,10,10300026,097,A.3.8 Nominal > 5 Miliar,45,260,1652434398105,0,,,
2024,10,10300026,097,A.5.4 200 Juta < Nominal <= 500 Juta,1,1,500000000,0,,,
2024,10,10300026,097,A.5.7 2 Miliar < Nominal <= 5 Miliar,1,3,2200000000,0,,,
2024,10,10300026,097,B.1.2 Nominal > Batasan Nilai Simpanan yang Dijamin,342,1072,2328558645926,684000000000,,,
2024,10,10300026,097,A.4.8 Nominal > 5 Miliar,1055,6891,31851395004939,0,,,
2024,10,10300026,097,B.1 Kategori 1,72338,86354,4807516141186,3162957495260,,,
2024,10,10300026,097,A.5.3 100 Juta < Nominal <= 200 Juta,4,4,538790149,0,,,
2024,10,10300026,097,A.5.6 1 Miliar < Nominal <= 2 Miliar,1,2,1489863908,0,,,
2024,10,10300026,097,A.5.5 500 Juta < Nominal <= 1 Miliar,1,2,520453925,0,,,
2024,10,10300026,097,B.2 Kategori 2,3025,8238,22907942666236,0,,,
