1,PK-GPA,199,199,100.00%,264,,,,,100.00%
2,PK-GPC,199,199,100.00%,264,264,100.00%,725,1065,68.08%
3,PK-GPD,199,199,100.00%,264,,100.00%,1065,1065,100.00%
4,PK-GPE,199,199,100.00%,264,264,100.00%,,,55.68%
5,PK-GPF,102,199,51.26%,264,264,100.00%,1065,1065,100.00%
6,PK-GPG,199,199,100.00%,152,264,,370,1065,34.74%
7,PK-GPL,168,199,84.42%,179,264,67.80%,1065,1065,100.00%
8,PK-GPM,121,199,60.80%,154,264,58.33%,589,,55.31%
9,PK-GPO,166,199,83.42%,227,264,85.98%,,1065,100.00%
10,PK-GPQ,140,199,70.35%,231,264,87.50%,1065,1065,100.00%
